"Ego","Alter1","Ego_id","Ego_popularity","Alter1_id","Alter1_popularity","N"
"Martin Garrix","AREA21","60d24wfXkVzDSfLS6hyCjZ",74,"76YIoWHp3Ri3q1ocOPtFzp",47,24
"David Guetta","AFROJACK","1Cs0zKBU1kc0i8ypK3B9ai",85,"4D75GcNG95ebPtNvoNVXhz",69,30
"David Guetta","Chris Willis","1Cs0zKBU1kc0i8ypK3B9ai",85,"2qSEpijpT3YSXgxcXac1ly",55,65
"David Guetta","Jack Back","1Cs0zKBU1kc0i8ypK3B9ai",85,"4bXUaTjc7TQTvLqqCAlfYt",45,26
"David Guetta","MORTEN","1Cs0zKBU1kc0i8ypK3B9ai",85,"19HFRWmRCl27kTk6LeqAO8",60,49
"David Guetta","Sia","1Cs0zKBU1kc0i8ypK3B9ai",85,"5WUlDfRSoLAfcVSX1WnrxN",81,31
"Dimitri Vegas & Like Mike","Bassjackers","73jBynjsVtofjRpdpRAJGk",67,"6xQvQwZQQuq9R3TdPNbcR8",58,23
"24h","24hrs","4isewEHTP7Az2QheDdBQ6J",49,"4isewEHTP7Az2QheDdBQ6J",49,174
"24h","DJ JAM","4isewEHTP7Az2QheDdBQ6J",49,"56PJJYnUU4iHn3UQj0Dobp",10,10
"24h","MadeinTYO","4isewEHTP7Az2QheDdBQ6J",49,"5SyGEPymt1G2uto47tVWvZ",57,14
"24h","DJ Drama","4isewEHTP7Az2QheDdBQ6J",49,"5oNgAs7j5XcBMzWv3HAnHG",58,16
"24h","SlickLaFlare","4isewEHTP7Az2QheDdBQ6J",49,"2H03Z2yYmmzztZT82JRtrn",7,16
"2WEI","Ali Christenhusz","4SGDDnlwi5G42HTGzYl2Fc",60,"7fXEq6QnJxnwZWtO1Ekc7N",36,14
"2WEI","Edda Hayes","4SGDDnlwi5G42HTGzYl2Fc",60,"0zJa53LLSg4TcZ5Lm4zFB8",55,10
"A Boogie Wit da Hoodie","Don Q","31W5EY0aAly4Qieq6OFu6I",79,"5TM9R6dNoJSMq23yZQD6Ee",42,11
"A Touch Of Class","Le Koma","5wTdspmxzb8V4ZjvDodpBo",60,"0",0,18
"Above & Beyond","Darren Tate","10gzBoINW3cLJfZUka8Zoe",58,"16330UNmPRfGUXZC6flXqI",33,11
"Above & Beyond","Richard Bedford","10gzBoINW3cLJfZUka8Zoe",58,"5JbD3IL6449LrMT8ct6KTB",41,23
"Above & Beyond","Zoë Johnston","10gzBoINW3cLJfZUka8Zoe",58,"3dWyWwLvZWsWtXZHhmAiFL",42,18
"Above & Beyond","Oceanlab","10gzBoINW3cLJfZUka8Zoe",58,"0aTdKgInKeMlNnwWSa1YPT",39,18
"AFROJACK","NLW","4D75GcNG95ebPtNvoNVXhz",69,"0ErzCpIMyLcjPiwT4elrtZ",77,11
"Airwave","Angels & Airwaves","7xklw3WodFZiNNmQt3DIgp",53,"7xklw3WodFZiNNmQt3DIgp",53,81
"Alan Walker","K-391","7vk5e3vY1uw9plTHJAMwjN",78,"6pWcSL9wSJZQ9ne0TnhdWr",62,10
"Alex M.O.R.P.H.","Woody van Eyden","478tAnskSff0wa0XxnpwmW",44,"4G2mPOOfWyqNO338GJTOK5",29,14
"Ali B","Ali Bakgor","4Zdbr0JJj9SXMDJfus1mNs",46,"4Zdbr0JJj9SXMDJfus1mNs",45,75
"Aloe Blacc","Bee","0id62QV2SZZfvBn9xpmuCl",62,"1LZEQNv7sE11VDY3SdxQeN",74,14
"Aloe Blacc","Cradle","0id62QV2SZZfvBn9xpmuCl",62,"0NTSMFFapnyZfvmCwzcYPd",49,14
"Aloe Blacc","Emanon","0id62QV2SZZfvBn9xpmuCl",62,"7prV8pCkEDmtURPtpMfgkd",15,15
"Aloe Blacc","Exile","0id62QV2SZZfvBn9xpmuCl",62,"2enKa9Yqr6PZy3xGlxQEu7",41,15
"ALOTT","VIZE","5NIERWixyvXlwwmiJgFms3",38,"09agIJMxCD2k87ys9Al0f0",66,13
"Aly & Fila","Aly & Fila FSOE Radio","2hL1EouqXLtBEB6JKnPF0h",43,"6dmjzgs2F8xunaiDjETWmA",12,41
"Aly & Fila","Future Sound of Egypt","2hL1EouqXLtBEB6JKnPF0h",43,"5Bg4nUIkZSOMnjk4Rj3BGb",12,41
"Aly & Fila","Daxson","2hL1EouqXLtBEB6JKnPF0h",43,"4WwMR8h0vztJLNgiL5ZFqW",38,11
"Aly & Fila","Philippe El Sisi","2hL1EouqXLtBEB6JKnPF0h",43,"35rhhznRPZslF98hw6EaMb",24,18
"Aly & Fila","Omar Sherif","2hL1EouqXLtBEB6JKnPF0h",43,"2ke04eDyctUvdLoZUoZdLs",23,17
"Aly & Fila","Craig Connelly","2hL1EouqXLtBEB6JKnPF0h",43,"78UUH1buA0gDtDnkX2dPgL",41,12
"Aly & Fila","The Noble Six","2hL1EouqXLtBEB6JKnPF0h",43,"6ukap43wMqP6mHC8SNB0Bj",26,13
"Aly & Fila","Milkwish","2hL1EouqXLtBEB6JKnPF0h",43,"1O50w1bZK5APgtWSD0qVjv",32,11
"Aly & Fila","Dylhen","2hL1EouqXLtBEB6JKnPF0h",43,"58R30oixEWaD1YGduLJpR5",20,15
"Aly & Fila","Fuenka","2hL1EouqXLtBEB6JKnPF0h",43,"20LsNbfhofBFByG5kuRKvK",24,12
"Aly & Fila","Paul Thomas","2hL1EouqXLtBEB6JKnPF0h",43,"32IkwkKb3BkxUGAzSjaBI8",37,11
"Aly & Fila","James Dymond","2hL1EouqXLtBEB6JKnPF0h",43,"65cUCIwyx5xtC5HoXh6eOs",26,13
"Aly & Fila","Andrea Ribeca","2hL1EouqXLtBEB6JKnPF0h",43,"10P6x5zk3NImEhtYJAe94w",28,13
"Aly & Fila","Dan Stone","2hL1EouqXLtBEB6JKnPF0h",43,"5AqacAhvN8JCsr00Qk9tb7",33,10
"Aly & Fila","Roger Shah","2hL1EouqXLtBEB6JKnPF0h",43,"3dAnWbqTzCOK1jdiK2v3gI",38,16
"Aly & Fila","Cari","2hL1EouqXLtBEB6JKnPF0h",43,"66ihevNkSYNzRAl44dx6jJ",84,10
