Artist,Gender,Country,Popularity,Gender_numeric,Continent,Popularity_gender
Martin Garrix,male,Netherlands,74,1,Europe,74
David Guetta,male,France,85,1,Europe,85
Dimitri Vegas & Like Mike,male,Belgium,67,1,Europe,67
24hrs,male,United States,49,1,North America,49
2WEI,male,Germany,60,1,Europe,60
A Boogie Wit da Hoodie,male,United States,79,1,North America,79
A Touch Of Class,mixed,Germany,60,0,Europe,0
Above & Beyond,male,United Kingdom & Finland,58,1,Europe,58
AFROJACK,male,Netherlands,69,1,Europe,69
Alan Walker,male,Norway,78,1,Europe,78
Alex M.O.R.P.H.,male,Germany,44,1,Europe,44
Aloe Blacc,male,United States,62,1,North America,62
ALOTT,male,Germany,38,1,Europe,38
Aly & Fila,male,Egypt,43,1,Africa,43
Ana Criado,female,United Kingdom,35,2,Europe,70
Antoine Clamaran,male,France,33,1,Europe,33
Anuel AA,male,Puerto Rico,85,1,North America,85
Armando Manzanero,male,Mexico,53,1,North America,53
Barbara Tucker,female,United States,39,2,North America,78
Bebe Rexha,female,United States,78,2,North America,156
Benny Benassi,male,Italy,64,1,Europe,64
Bad Bunny,male,Puerto Rico,96,1,North America,96
Black Coffee,male,South Africa,61,1,Africa,61
Blank & Jones,male,Germany,52,1,Europe,52
Bo Bruce,female,United Kingdom,39,2,Europe,78
Brennan Heart,male,Netherlands,59,1,Europe,59
Bruno Mars,male,United States,86,1,North America,86
Bruno Martini,male,Brazil,62,1,South America,62
Calvin Harris,male,United Kingdom,83,1,Europe,83
Carin Leon,male,Mexico,84,1,North America,84
Cathy Burton,female,United Kingdom,29,2,Europe,58
"Cerf, Mitiska & Jaren",mixed,United States,28,0,North America,0
Charles Bradley,male,United States,54,1,North America,54
Cheat Codes,mixed,United States,64,0,North America,0
Chris Brown,male,United States,84,1,North America,84
Coone,male,Belgium,55,1,Europe,55
Cosmic Gate,male,Germany,50,1,Europe,50
Crystal Waters,female,United States,60,2,North America,120
Dairon La Formula,male,United States,21,1,North America,21
David Bowie,male,United Kingdom,74,1,Europe,74
David Forbes,male,United Kingdom,30,1,Europe,30
DMX,male,United States,67,1,North America,67
Dimitri Vegas,male,Belgium,67,1,Europe,67
Dirty South,male,Australia,45,1,Oceania,45
Djay W,male,Brazil,57,1,South America,57
